label,value
Andheri Station (W) (BEST),"19.119792,72.845983"
"Angan Wadi, Manali Village (BEST)","19.235402,72.8662"
Anik Depot (BEST),"19.04665,72.878201"
Aniruddha Bhavan (BEST),"19.053092,73.016535"
Anita Nagar (BEST),"19.197148,72.875854"
"Anjanabai Magar Chowk, Swatantra Sainik Surve Chowk (BEST)","19.071466,72.875604"
Anjeerwadi (BEST),"18.973543,72.840243"
Anjuman College (BEST),"18.96177,72.825648"
Ankur Hospital (BEST),"19.13129,72.935636"
Ankur Palace (BEST),"19.222737,72.849517"
Annabhau Sathe Chowk (Thane) (BEST),"19.200736,72.949157"
Annabhau Sathe Nagar (Mankhurd) (BEST),"19.056206,72.930013"
Antop Hill (BEST),"19.026282,72.866822"
Antop Hill (Mono),"19.030203,72.866988"
Antop Hill Bus Station (BEST),"19.026453,72.866195"
Antop Hill Church (BEST),"19.032696,72.866761"
Antop Hill Extension (BEST),"19.024973,72.869577"
Antop Hill Police Station (BEST),"19.031068,72.863257"
Antop Hill Post Office (BEST),"19.024465,72.86383"
Anushakti Nagar (BEST),"19.042925,72.92613"
Anushakti Nagar Bus Station (BEST),"19.04242,72.926529"
Apna Bazar  (Mira Road) (BEST),"19.275396,72.867557"
Apna Bazar (Vashi) (BEST),"19.070876,72.9975"
Appapada (BEST),"19.189709,72.866635"
Apta (Local-Pnvl-Bsr),"18.86359704,73.15280613"
Arihant Industrial Estate (BEST),"19.14946667,72.84768333"
Arnala Gaon (VVMT),"19.45835074,72.74751056"
Arnala Last Stop (VVMT),"19.45620447,72.74837398"
"Arogya Hospital, D Mart (BEST)","19.01907,73.015754"
Arya Samaj Mandir (BEST),"19.079447,72.834466"
Asalpha (Metro),"19.092582,72.901866"
Asalpha Village (BEST),"19.095803,72.895634"
Asangaon (Local-CR),"19.4395401,73.3079024"
Asha Usha Company (BEST),"19.108486,72.924187"
Ashirwad Hospital (BEST),"19.256975,72.864923"
Ashirwad Society (BEST),"19.112607,72.896568"
Ashish Complex (BEST),"19.261535,72.861981"
Ashok Hospital (BEST),"19.188317,72.849929"
Ashok Kedare Chowk (BEST),"19.147731,72.928637"
Ashok Nagar (Marol Maroshi) (BEST),"19.118032,72.88517"
"Ashok Nagar (Thane), Vilo S Society (BEST)","19.222351,72.994091"
Ashok Van (BEST),"19.242404,72.866653"
Ashok Vihar (BEST),"19.117717,72.887185"
Asian Paints (BEST),"19.159305,72.937628"
Asmita Jyoti (BEST),"19.196713,72.82754"
Asmita Super Market (BEST),"19.273154,72.864542"
Assisi Nagar (Chembur-W) (BEST),"19.060548,72.912179"
Atgaon (Local-CR),"19.50371171,73.32811381"
Atmaram Nagar (Srushti) (BEST),"19.264548,72.87094"
Atmaram Tower (BEST),"19.245852,72.845297"
Atria Society (BEST),"19.24549702,72.98229399"
August Kranti Maidan (BEST),"18.963005,72.810568"
Avdhut Nagar (BEST),"19.25658333,72.85913333"
Ayyapa Mandir (BEST),"19.275853,72.85986"
Ayyapa Mandir (Goregaon) (BEST),"19.165179,72.831948"
Azad Flour Mill (BEST),"18.985369,72.841052"
Azad Nagar (Andheri) (BEST),"19.130717,72.837573"
Azad Nagar (Kalina) (BEST),"19.078653,72.866688"
Azad Nagar (Metro),"19.115787,72.856394"
Azad Nagar (Mira Road) (BEST),"19.296602,72.857212"
Azad Nagar (Wadala) (BEST),"19.014405,72.855696"
Aziz Baug (BEST),"19.037542,72.895067"
B Cross Road (BEST),"19.114582,72.868198"
B.A.P.Market (BEST),"19.073611,73.008342"
B.A.R.C Gate No.6 (BEST),"19.042123,72.933797"
"B.D.Patil Marg, Hpcl (BEST)","19.01942,72.898"
B.M.C.Compost Plant (BEST),"19.057416,72.927685"
B.M.C.Office-Vikhroli (BEST),"19.117032,72.926143"
B.P.T Colony (Dockyard Rd) (BEST),"18.964166,72.841485"
B.P.T. Colony (Barkat Ali Marg) (BEST),"19.017617,72.864148"
B.P.T. Colony (Wadala) (BEST),"19.01253,72.862479"
B.S.E.S Sub-Station (Swami Samarth Nagar) (BEST),"19.134566,72.82529"
B.S.E.S. (Andheri-E) (BEST),"19.130407,72.880289"
B.S.E.S.Sub Station-Chembur (BEST),"19.059144,72.899363"
Babasaheb Worlikar Chowk (Century Bazaar) (BEST),"19.012387,72.822349"
Babhai Naka (BEST),"19.228545,72.848486"
Babu Genu Market (BEST),"19.095788,72.904167"
Babulnath (BEST),"18.95781,72.809092"
Babulnath Junction (BEST),"18.960123,72.809441"
Backbay Depot (BEST),"18.909745,72.817318"
Badhwar Park (BEST),"18.919834,72.82591"
Badlapur (Local-CR),"19.1668399,73.2390069"
Bafane Highway Naigaon East (VVMT),"19.36655882,72.89385972"
Bafira Nagar (BEST),"19.197602,72.82057"
Bahar Cinema (BEST),"19.110907,72.853915"
Bail Bazar (BEST),"19.086438,72.881013"
Bainganwadi (BEST),"19.058717,72.92511"
Bajaj Bhavan (BEST),"18.926498,72.822249"
Balaji Building (BEST),"19.286467,72.858351"
Balaji Nagar (BEST),"19.31014,72.850277"
"Balasaheb Thackeray Trauma Centre, S.R.P. Camp (BEST)","19.14184,72.854742"
Balbharati (Kandivali-W) (BEST),"19.200386,72.848761"
Balbharati Vidyalaya (Kharghar) (BEST),"19.034101,73.062839"
Balbhavan (BEST),"18.951285,72.817482"
Balkanji Bari School (BEST),"19.084758,72.832837"
Balkum Naka (BEST),"19.221485,72.989555"
